"2022-12-10","11:00:02","300005557800","Banana Sandwich Special","MAIN","4","TAKE-AWAY"
"2022-12-10","11:02:58","300005557801","Cream Cake","SIDE","1","TAKE-AWAY"
"2022-12-10","11:03:55","300005557802","Ice Lychee Tea","DRINK","2","TAKE-AWAY"
"2022-12-10","11:03:55","300005557802","Ice Lemon Tea","DRINK","2","TAKE-AWAY"
"2022-12-10","11:22:11","300005557803","Banana Sandwich Special","MAIN","1","TAKE-AWAY"
"2022-12-10","11:22:11","300005557803","Sugar Rush Tower","MAIN","1","TAKE-AWAY"
"2022-12-10","11:22:11","300005557803","Hot Six","MAIN","1","TAKE-AWAY"
"2022-12-10","11:22:11","300005557803","Mango Slurpee","DRINK","3","TAKE-AWAY"
"2022-12-10","12:21:43","300005557804","Mango Slurpee","DRINK","4","TAKE-AWAY"
"2022-12-10","12:21:43","300005557804","Chocolate Cat And Mouse","MAIN","1","TAKE-AWAY"
"2022-12-10","12:28:04","300005557805","Strawberry Deluxe Surprise","MAIN","1","DINE-IN"
"2022-12-10","12:28:04","300005557805","Chocolate Cat And Mouse","MAIN","1","DINE-IN"
"2022-12-10","12:28:04","300005557805","Banana Sandwich Special","MAIN","1","DINE-IN"
"2022-12-10","12:57:15","300005557806","Fruit Fritters","SIDE","1","DINE-IN"
"2022-12-10","12:59:01","300005557807","Chocolate Overload","MAIN","1","DINE-IN"
"2022-12-10","13:32:29","300005557808","Hot Six","MAIN","1","DINE-IN"
"2022-12-10","13:59:55","300005557809","Blueberry Muffin","SIDE","6","DINE-IN"
"2022-12-10","14:28:17","300005557810","Banana Sandwich Special","MAIN","1","DINE-IN"
"2022-12-10","14:36:02","300005557811","Chocolate Cat And Mouse","MAIN","3","TAKE-AWAY"
"2022-12-10","14:48:02","300005557812","Banana Sandwich Special","MAIN","1","TAKE-AWAY"
"2022-12-10","14:50:03","300005557813","Banana Sandwich Special","MAIN","4","TAKE-AWAY"
"2022-12-10","15:10:10","300005557814","Sugar Rush Tower","MAIN","2","TAKE-AWAY"
"2022-12-10","15:55:54","300005557815","Strawberry Deluxe Surprise","MAIN","1","TAKE-AWAY"
"2022-12-10","15:59:41","300005557816","Cream Cake","SIDE","15","TAKE-AWAY"
"2022-12-10","16:03:16","300005557817","Blueberry Muffin","SIDE","5","TAKE-AWAY"
"2022-12-10","16:54:56","300005557818","Sugar Rush Tower","MAIN","1","TAKE-AWAY"
"2022-12-10","16:58:04","300005557819","Sugar Rush Tower","MAIN","1","TAKE-AWAY"
"2022-12-10","17:17:44","300005557820","Banana Sandwich Special","MAIN","5","TAKE-AWAY"
"2022-12-10","17:26:54","300005557821","Fruit Fritters","SIDE","8","TAKE-AWAY"
"2022-12-10","17:33:33","300005557822","Hot Six","MAIN","2","TAKE-AWAY"
"2022-12-10","17:48:05","300005557823","Strawberry Deluxe Surprise","MAIN","1","TAKE-AWAY"
"2022-12-10","18:03:31","300005557824","Blueberry Muffin","SIDE","6","TAKE-AWAY"
"2022-12-10","18:11:04","300005557825","Banana Sandwich Special","MAIN","3","TAKE-AWAY"
"2022-12-10","18:30:07","300005557826","Strawberry Deluxe Surprise","MAIN","2","DINE-IN"
"2022-12-10","18:30:07","300005557826","Fruit Fritters","SIDE","4","DINE-IN"
"2022-12-10","18:30:07","300005557826","Ice Green Tea","DRINK","2","DINE-IN"
"2022-12-10","18:30:07","300005557826","Ice Lemon Tea","DRINK","2","DINE-IN"
"2022-12-10","18:30:07","300005557826","Blueberry Muffin","SIDE","2","DINE-IN"
"2022-12-10","19:22:22","300005557827","Banana Sandwich Special","MAIN","1","DINE-IN"
"2022-12-10","19:22:22","300005557827","Sugar Rush Tower","MAIN","1","DINE-IN"
"2022-12-10","19:22:22","300005557827","Blueberry Muffin","SIDE","2","DINE-IN"
"2022-12-10","19:22:22","300005557827","Ice Lemon Tea","DRINK","2","DINE-IN"
"2022-12-10","19:30:41","300005557828","Strawberry Deluxe Surprise","MAIN","1","DINE-IN"
"2022-12-10","19:30:41","300005557828","Ice Lemon Tea","DRINK","1","DINE-IN"
"2022-12-10","19:45:45","300005557829","Strawberry Deluxe Surprise","MAIN","1","DINE-IN"
"2022-12-10","19:45:45","300005557829","Cream Cake","SIDE","1","DINE-IN"
"2022-12-10","19:48:08","300005557830","Cream Cake","SIDE","3","TAKE-AWAY"
"2022-12-10","19:51:15","300005557831","Cream Cake","SIDE","2","TAKE-AWAY"
"2022-12-10","19:55:45","300005557832","Blueberry Muffin","SIDE","8","TAKE-AWAY"
"2022-12-10","19:57:30","300005557833","Ice Green Tea","DRINK","5","DINE-IN"
"2022-12-10","19:57:30","300005557833","Hot Six","MAIN","3","DINE-IN"
"2022-12-10","19:57:30","300005557833","Sugar Rush Tower","MAIN","2","DINE-IN"
